SKU,Name,Cost,Qty,Category
TEST-SKU-0001,Test Product 1,23.4,70,Dairy
TEST-SKU-0002,Test Product 2,47.88,169,Dairy
TEST-SKU-0003,Test Product 3,19.76,59,Pantry
TEST-SKU-0004,Test Product 4,45.95,130,Pantry
TEST-SKU-0005,Test Product 5,47.52,68,Bakery
TEST-SKU-0006,Test Product 6,13.88,176,Dairy
TEST-SKU-0007,Test Product 7,13.83,117,Pantry
TEST-SKU-0008,Test Product 8,3.43,47,Vegetables
TEST-SKU-0009,Test Product 9,12.89,96,Bakery
TEST-SKU-0010,Test Product 10,2.92,80,Pantry
TEST-SKU-0011,Test Product 11,47.97,138,Meat
TEST-SKU-0012,Test Product 12,38.59,28,Vegetables
TEST-SKU-0013,Test Product 13,13.98,111,Fruits
TEST-SKU-0014,Test Product 14,45.23,50,Vegetables
TEST-SKU-0015,Test Product 15,2.62,192,Pantry
TEST-SKU-0016,Test Product 16,24.38,180,Pantry
TEST-SKU-0017,Test Product 17,18.31,62,Beverages
TEST-SKU-0018,Test Product 18,42.62,182,Vegetables
TEST-SKU-0019,Test Product 19,6.63,125,Meat
TEST-SKU-0020,Test Product 20,15.36,98,Fruits
TEST-SKU-0021,Test Product 21,18.23,167,Meat
TEST-SKU-0022,Test Product 22,4.2,69,Snacks
TEST-SKU-0023,Test Product 23,39.26,54,Meat
TEST-SKU-0024,Test Product 24,48.52,149,Dairy
TEST-SKU-0025,Test Product 25,28.03,140,Beverages
TEST-SKU-0026,Test Product 26,1.88,168,Fruits
TEST-SKU-0027,Test Product 27,19.56,108,Pantry
TEST-SKU-0028,Test Product 28,34.73,198,Snacks
TEST-SKU-0029,Test Product 29,1.44,160,Meat
TEST-SKU-0030,Test Product 30,40.75,151,Dairy
TEST-SKU-0031,Test Product 31,16.1,116,Bakery
TEST-SKU-0032,Test Product 32,26.45,74,Dairy
TEST-SKU-0033,Test Product 33,16.48,100,Beverages
TEST-SKU-0034,Test Product 34,23.99,19,Meat
TEST-SKU-0035,Test Product 35,18.92,139,Fruits
TEST-SKU-0036,Test Product 36,21.83,17,Meat
TEST-SKU-0037,Test Product 37,33.14,27,Meat
TEST-SKU-0038,Test Product 38,32.84,194,Fruits
TEST-SKU-0039,Test Product 39,32.39,177,Vegetables
TEST-SKU-0040,Test Product 40,14.02,46,Fruits
TEST-SKU-0041,Test Product 41,38.26,162,Dairy
TEST-SKU-0042,Test Product 42,32.39,168,Bakery
TEST-SKU-0043,Test Product 43,48.03,152,Meat
TEST-SKU-0044,Test Product 44,3.01,130,Bakery
TEST-SKU-0045,Test Product 45,9.35,115,Meat
